GKÇ FİDER ID;GKÇ TRAFO MERKEZİ ADI;FİDER ADI;İLİ;BÖLGE MÜDÜRLÜĞÜ;GERİLİM;ÖLÇÜM MODU;AÇIKLAMA;EŞLİ;AKTİF;GÜNCELLEYEN KULLANICI;GÜNCELLENME ZAMANI
1935;HİRFANLI HES;10.5 kV GRUP 1;KIRŞEHİR;11. Bölge Müdürlüğü;15;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1936;HİRFANLI HES;10.5 kV GRUP 2;KIRŞEHİR;11. Bölge Müdürlüğü;15;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1937;HİRFANLI HES;10.5 kV GRUP 3;KIRŞEHİR;11. Bölge Müdürlüğü;15;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1938;HİRFANLI HES;10.5 kV GRUP 4;KIRŞEHİR;11. Bölge Müdürlüğü;15;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1931;HİRFANLI HES;154 kV TRANSFORMATÖR GRUP 1;KIRŞEHİR;11. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1932;HİRFANLI HES;154 kV TRANSFORMATÖR GRUP 2;KIRŞEHİR;11. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1933;HİRFANLI HES;154 kV TRANSFORMATÖR GRUP 3;KIRŞEHİR;11. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1934;HİRFANLI HES;154 kV TRANSFORMATÖR GRUP 4;KIRŞEHİR;11. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1721;İÇANADOLU DGKÇS;400 kV TRANSFORMATÖR GRUP 1;KIRIKKALE;8. Bölge Müdürlüğü;380;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;21.02.2022 00:44
1720;İÇANADOLU DGKÇS;400 kV TRANSFORMATÖR GRUP 2;KIRIKKALE;8. Bölge Müdürlüğü;380;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1719;İÇANADOLU DGKÇS;400 kV TRANSFORMATÖR GRUP 3;KIRIKKALE;8. Bölge Müdürlüğü;380;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;21.02.2022 00:44
1789;KALECİK;33 kV KALECİK HES;ANKARA;8. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;11.04.2022 00:44
1869;KAPULUKAYA HES;10.5 kV GRUP 1;ANKARA;8. Bölge Müdürlüğü;15;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1870;KAPULUKAYA HES;10.5 kV GRUP 2;ANKARA;8. Bölge Müdürlüğü;15;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1871;KAPULUKAYA HES;10.5 kV GRUP 3;ANKARA;8. Bölge Müdürlüğü;15;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1872;KAPULUKAYA HES;154 kV HACILAR;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
433;KARAMAN;154 kV DİANA OTEL GES;KARAMAN;9. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;24.02.2025 00:44
2544;KARAMAN;154 kV KARAMAN OSB;KARAMAN;9. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;06.03.2023 00:44
434;KARAMAN;33 kV TRANSFORMATÖR A;KARAMAN;9. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
2453;KARAPINAR;154 kV EREĞLİ KONYA;KONYA;9. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;14.03.2022 00:44
2452;KARAPINAR;154 kV KARAPINAR ACIGÖL HAT1;KONYA;9. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;14.03.2022 00:44
